0;5000;0.031;0.027;65.112
0;10000;0.051;0.096;248.212
0;15000;0.065;0.132;551.735
0;20000;0.091;0.092;973.562
0;25000;0.113;0.119;1521.66
0;30000;0.136;0.138;2160.46
0;35000;0.162;0.29;2898.09
0;40000;0.191;0.324;3781.74
0;45000;0.207;0.256;4718.19
0;50000;0.227;0.397;5788.39
0;55000;0.248;0.491;6979.12
0;60000;0.421;0.475;8396.13
0;65000;0.322;0.518;9743.83
0;70000;0.325;0.51;11301.4
0;75000;0.354;0.509;13067.5
0;80000;0.369;0.373;14958.5
0;85000;0.387;0.386;16761.1
0;90000;0.433;0.767;19095.8
0;95000;0.438;0.746;21183
0;100000;0.47;0.815;23228.8
1;5000;0.023;0.049;65.072
1;10000;0.039;0.071;261.31
1;15000;0.067;0.067;544.675
1;20000;0.093;0.093;995.302
1;25000;0.116;0.167;1536.65
1;30000;0.139;0.238;2178.17
1;35000;0.159;0.283;2912
1;40000;0.195;0.321;3844.91
1;45000;0.205;0.254;4888.59
1;50000;0.232;0.231;5845.89
1;55000;0.253;0.26;7193.52
1;60000;0.274;0.483;8484.66
1;65000;0.322;0.3;9840.2
1;70000;0.325;0.322;11616.3
1;75000;0.361;0.617;13213.4
1;80000;0.383;0.368;15192
1;85000;0.399;0.699;16983.2
1;90000;0.418;0.406;19210.5
1;95000;0.443;0.437;21194.2
1;100000;0.467;0.456;23737.2
2;5000;0.025;0.027;68.956
2;10000;0.047;0.049;261.809
2;15000;0.066;0.068;580.771
2;20000;0.093;0.094;1030.97
2;25000;0.117;0.119;1552.45
2;30000;0.139;0.248;2232.92
2;35000;0.165;0.165;3001.11
2;40000;0.187;0.185;3901.74
2;45000;0.208;0.209;4828.72
2;50000;0.232;0.407;5963.66
2;55000;0.273;0.444;7123.83
2;60000;0.291;0.289;8577.24
2;65000;0.306;0.302;9899.37
2;70000;0.325;0.382;11568.9
2;75000;0.363;0.356;13224
2;80000;0.387;0.68;15000
2;85000;0.387;0.699;16931.5
2;90000;0.413;0.409;18765.3
2;95000;0.437;0.429;20986
2;100000;0.459;0.909;23346.6
3;5000;0.023;0.043;65.851
3;10000;0.046;0.045;249.075
3;15000;0.069;0.068;548.225
3;20000;0.089;0.091;980.504
3;25000;0.202;0.204;1546.34
3;30000;0.133;0.27;2214.16
3;35000;0.161;0.157;2961.32
3;40000;0.184;0.358;3812.14
3;45000;0.203;0.409;4789.87
3;50000;0.228;0.448;5877.15
3;55000;0.254;0.328;7083.78
3;60000;0.28;0.391;8416.61
3;65000;0.289;0.41;9916.77
3;70000;0.362;0.325;11442.6
3;75000;0.339;0.545;12943.4
3;80000;0.36;0.681;14857.9
3;85000;0.391;0.386;16731.2
3;90000;0.42;1.001;18832.1
3;95000;0.432;0.751;21015.7
3;100000;0.458;0.783;23281
4;5000;0.024;0.026;64.765
4;10000;0.044;0.045;259.81
4;15000;0.067;0.069;540.692
4;20000;0.092;0.165;1005.89
4;25000;0.115;0.117;1510.61
4;30000;0.326;0.241;2198.53
4;35000;0.162;0.161;2929.47
4;40000;0.185;0.336;3743.92
4;45000;0.208;0.207;4807.27
4;50000;0.228;0.418;5841.4
4;55000;0.265;0.273;7174.71
4;60000;0.279;0.461;8391.32
4;65000;0.314;0.52;9971.86
4;70000;0.326;0.418;11431.9
4;75000;0.353;0.34;13052
4;80000;0.38;0.655;15006.7
4;85000;0.404;0.682;16792.3
4;90000;0.419;0.756;18848.8
4;95000;0.438;0.781;20941.2
4;100000;0.461;0.794;24621.6
