0;500;47.152
0;1000;177.747
0;1500;277.407
0;2000;381.027
0;2500;504.302
0;3000;627.876
0;3500;797.735
0;4000;962.558
0;4500;1144.23
0;5000;1372.67
0;5500;1597.34
0;6000;1789.1
0;6500;2029.55
0;7000;2272.89
0;7500;2612.61
0;8000;2820.83
0;8500;3104.21
0;9000;3418.44
0;9500;3825.39
0;10000;4092.09
1;500;39.624
1;1000;142.84
1;1500;325.274
1;2000;517.095
1;2500;769.528
1;3000;738.656
1;3500;823.807
1;4000;994.37
1;4500;1163.58
1;5000;1362.47
1;5500;1558.62
1;6000;1773.54
1;6500;2023.01
1;7000;2281.99
1;7500;2533.87
1;8000;2970.84
1;8500;3301.39
1;9000;3489.7
1;9500;3801.26
1;10000;4135.15
2;500;32.101
2;1000;125.808
2;1500;295.724
2;2000;488.918
2;2500;743.459
2;3000;730.831
2;3500;838.282
2;4000;1012.52
2;4500;1174.86
2;5000;1361.1
2;5500;1564.14
2;6000;1788.19
2;6500;2043.2
2;7000;2291.95
2;7500;2611.87
2;8000;2844.61
2;8500;3096.71
2;9000;3501.63
2;9500;3824.83
2;10000;4078.96
3;500;38.77
3;1000;125.925
3;1500;319.948
3;2000;508.783
3;2500;725.897
3;3000;841.04
3;3500;841.046
3;4000;993.277
3;4500;1157
3;5000;1371.54
3;5500;1586.6
3;6000;1784.9
3;6500;2018.17
3;7000;2267.24
3;7500;2565.94
3;8000;2829.05
3;8500;3295.78
3;9000;3434.32
3;9500;3830.03
3;10000;4156.18
4;500;37.939
4;1000;125.616
4;1500;336.082
4;2000;520.812
4;2500;758.784
4;3000;799.121
4;3500;846.066
4;4000;994.497
4;4500;1179.33
4;5000;1407.84
4;5500;1562.96
4;6000;1823.37
4;6500;2035.66
4;7000;2252.48
4;7500;2569.88
4;8000;2984
4;8500;3267.85
4;9000;3407.61
4;9500;3959.48
4;10000;4199.96
