0;5000;0.484;0.032
0;10000;0.997;0.055
0;15000;0.347;0.056
0;20000;1.043;0.083
0;25000;1.06;0.098
0;30000;0.851;0.11
0;35000;0.409;0.115
0;40000;0.427;0.127
0;45000;0.464;0.146
0;50000;0.459;0.155
0;55000;0.472;0.244
0;60000;0.491;0.192
0;65000;0.511;0.374
0;70000;0.698;0.218
0;75000;1.261;0.246
0;80000;1.255;0.319
0;85000;1.298;0.559
0;90000;1.28;0.521
0;95000;1.48;0.339
0;100000;0.808;0.303
1;5000;0.301;0.022
1;10000;0.505;0.038
1;15000;0.524;0.149
1;20000;0.653;0.067
1;25000;0.554;0.082
1;30000;0.569;0.098
1;35000;0.34;0.12
1;40000;1.128;0.149
1;45000;0.358;0.141
1;50000;1.19;0.327
1;55000;0.478;0.178
1;60000;1.196;0.203
1;65000;1.212;0.223
1;70000;1.244;0.403
1;75000;1.23;0.255
1;80000;1.248;0.426
1;85000;1.377;0.404
1;90000;1.249;0.502
1;95000;1.295;0.301
1;100000;0.786;0.346
2;5000;0.298;0.024
2;10000;0.554;0.067
2;15000;0.517;0.053
2;20000;0.534;0.12
2;25000;0.553;0.141
2;30000;0.561;0.097
2;35000;0.532;0.197
2;40000;1.107;0.271
2;45000;0.344;0.14
2;50000;1.143;0.168
2;55000;0.475;0.3
2;60000;1.342;0.2
2;65000;1.167;0.417
2;70000;1.212;0.23
2;75000;1.216;0.332
2;80000;1.239;0.467
2;85000;1.253;0.274
2;90000;1.268;0.499
2;95000;1.3;0.524
2;100000;0.77;0.536
3;5000;0.3;0.023
3;10000;0.496;0.067
3;15000;0.518;0.092
3;20000;0.543;0.067
3;25000;0.549;0.142
3;30000;0.567;0.094
3;35000;0.318;0.197
3;40000;1.104;0.249
3;45000;0.344;0.142
3;50000;1.143;0.298
3;55000;0.463;0.373
3;60000;1.172;0.201
3;65000;1.228;0.383
3;70000;1.236;0.403
3;75000;1.233;0.433
3;80000;1.214;0.513
3;85000;1.371;0.478
3;90000;1.247;0.532
3;95000;1.274;0.299
3;100000;0.788;0.518
4;5000;0.288;0.022
4;10000;0.552;0.105
4;15000;0.517;0.058
4;20000;0.534;0.067
4;25000;0.553;0.079
4;30000;0.567;0.168
4;35000;0.31;0.192
4;40000;1.149;0.254
4;45000;0.348;0.248
4;50000;1.137;0.301
4;55000;0.466;0.314
4;60000;1.178;0.355
4;65000;1.197;0.241
4;70000;1.206;0.421
4;75000;1.227;0.251
4;80000;1.24;0.42
4;85000;1.671;0.472
4;90000;1.282;0.333
4;95000;1.479;0.299
4;100000;0.792;0.298
