0;500000;0.099
0;1000000;0.093
0;1500000;0.088
0;2000000;0.131
0;2500000;0.087
0;3000000;0.091
0;3500000;0.087
0;4000000;0.093
0;4500000;0.09
0;5000000;0.086
0;5500000;0.087
0;6000000;0.086
0;6500000;0.083
0;7000000;0.087
0;7500000;0.085
0;8000000;0.087
0;8500000;0.085
0;9000000;0.087
0;9500000;0.087
0;10000000;0.085
1;500000;0.085
1;1000000;0.085
1;1500000;0.087
1;2000000;0.083
1;2500000;0.082
1;3000000;0.083
1;3500000;0.083
1;4000000;0.086
1;4500000;0.089
1;5000000;0.086
1;5500000;0.088
1;6000000;0.087
1;6500000;0.086
1;7000000;0.085
1;7500000;0.084
1;8000000;0.085
1;8500000;0.086
1;9000000;0.086
1;9500000;0.086
1;10000000;0.087
2;500000;0.08
2;1000000;0.093
2;1500000;0.085
2;2000000;0.087
2;2500000;0.083
2;3000000;0.086
2;3500000;0.092
2;4000000;0.089
2;4500000;0.083
2;5000000;0.085
2;5500000;0.087
2;6000000;0.087
2;6500000;0.086
2;7000000;0.087
2;7500000;0.087
2;8000000;0.089
2;8500000;0.087
2;9000000;0.088
2;9500000;0.087
2;10000000;0.087
3;500000;0.085
3;1000000;0.085
3;1500000;0.085
3;2000000;0.082
3;2500000;0.082
3;3000000;0.085
3;3500000;0.083
3;4000000;0.086
3;4500000;0.087
3;5000000;0.086
3;5500000;0.086
3;6000000;0.085
3;6500000;0.088
3;7000000;0.087
3;7500000;0.088
3;8000000;0.086
3;8500000;0.086
3;9000000;0.089
3;9500000;0.087
3;10000000;0.086
4;500000;0.082
4;1000000;0.089
4;1500000;0.093
4;2000000;0.088
4;2500000;0.088
4;3000000;0.094
4;3500000;0.087
4;4000000;0.087
4;4500000;0.088
4;5000000;0.092
4;5500000;0.085
4;6000000;0.085
4;6500000;0.087
4;7000000;0.1
4;7500000;0.087
4;8000000;0.085
4;8500000;0.087
4;9000000;0.086
4;9500000;0.086
4;10000000;0.085
